Video Title,Dish Name,YouTube Link,Cuisine Type
3 Amazing Recipes in Sandwich Maker by Asad Memon - Food Fusion,Recipes in Sandwich Maker by Asad Memon,https://www.youtube.com/watch?v=J3NgtdRkaBU,Continental
Nargisi Koftay Recipe By Food Fusion,Nargisi Koftay Recipe,https://www.youtube.com/watch?v=UOH3xZ5z0ko,Pakistani
Viral Dubai Chocolate Cinnamon Rolls Recipe By Food Fusion,Viral Dubai Chocolate Cinnamon Rolls Recipe,https://www.youtube.com/watch?v=F7FQ0-Cqfa0,Pakistani
Street Style Dhamaka Mirchi Bun kabab Recipe By Asad Memon - Food Fusion,Street Style Dhamaka Mirchi Bun kabab Recipe By Asad Memon,https://www.youtube.com/watch?v=My0gNynf118,Pakistani
Nawabi Chicken Malai Fry Recipe By Asad Memon - Food Fusion,Nawabi Chicken Malai Fry Recipe By Asad Memon,https://www.youtube.com/watch?v=C9AthE11xTI,Pakistani
4 Delicious Sooji Halwa Recipes by Food Fusion,Sooji Halwa Recipes,https://www.youtube.com/watch?v=yfZy_lmkTzU,Pakistani
Turkish Halva Recipe By Food Fusion,Turkish Halva Recipe,https://www.youtube.com/watch?v=-ucAVwCenJA,Arabic/Mediterranean
Chicken Moti Handi Recipe by Food Fusion,Chicken Moti Handi Recipe,https://www.youtube.com/watch?v=WJd0CPeSSl4,Pakistani
Crispy Chicken Sandwich (McChicken Style) - Make & Freeze Recipe By Food Fusion,Crispy Chicken Sandwich (McChicken Style),https://www.youtube.com/watch?v=xQeYIHsEoTo,Continental
Afghani Anda Korma Recipe by Food Fusion,Afghani Anda Korma Recipe,https://www.youtube.com/watch?v=siqQdOUeh2E,Arabic/Mediterranean
Dhaba Style Chicken Masala Recipe By Food Fusion,Dhaba Style Chicken Masala Recipe,https://www.youtube.com/watch?v=KnBMW-afVHk,Pakistani
Gulab Jamun Recipe by Asad Memon - Food Fusion | Independence Day Special,Gulab Jamun Recipe by Asad Memon,https://www.youtube.com/watch?v=KpYVUZeTBzI,Pakistani
Lunchbox Recipe Ideas Collection 3 by Food Fusion | Back to School Special,Lunchbox Recipe Ideas Collection 3,https://www.youtube.com/watch?v=lfNrCKYPw5g,Pakistani
Soft & Fluffy Donuts Recipe by Food Fusion,Soft & Fluffy Donuts Recipe,https://www.youtube.com/watch?v=0i86UpyST_E,Continental
Quick Shawarma Pita Melt (Back to School) Recipe by Food Fusion,Quick Shawarma Pita Melt (Back to School) Recipe,https://www.youtube.com/watch?v=Z3euZAVgdKo,Arabic/Mediterranean
Lunchbox Chicken Macaroni Back-to-School Recipe by Food Fusion,Lunchbox Chicken Macaroni Back-to-School Recipe,https://www.youtube.com/watch?v=5v89kxArsK4,Continental
Flan in Jars Recipe by Food Fusion,Flan in Jars Recipe,https://www.youtube.com/watch?v=vYXItCuAJjY,Continental
Lunchbox Recipe Ideas Collection 2  by Food Fusion | Back to School Special,Lunchbox Recipe Ideas Collection 2,https://www.youtube.com/watch?v=gyP2Dh4Q-zM,Pakistani
Lunchbox Recipe Ideas Collection 1 by Food Fusion | Back-to-School Special,Lunchbox Recipe Ideas Collection 1,https://www.youtube.com/watch?v=MHO-k6pdI50,Pakistani
Egg & Veg Sandwich Back to School - Lunchbox Recipe by Food Fusion,Egg & Veg Sandwich Back to School,https://www.youtube.com/watch?v=bzp8sMkc_dU,Continental
Marry Me Chicken Meatballs Recipe by Food Fusion,Marry Me Chicken Meatballs Recipe,https://www.youtube.com/watch?v=mRXc9k1Boq4,Continental
Kachori Platter Recipe by Food Fusion,Kachori Platter Recipe,https://www.youtube.com/watch?v=2DO68tED7Ho,Pakistani
Chai with Asad Memon & Ambassador Kohdayar Marri - Food Fusion,Chai with Asad Memon & Ambassador Kohdayar Marri,https://www.youtube.com/watch?v=oAuPV3gxV8M,Non-Recipe/Vlog
Special Chatkhara Biryani Recipe by Asad Memon-Food Fusion,Special Chatkhara Biryani Recipe by Asad Memon,https://www.youtube.com/watch?v=G8kzjhoiJl8,Indian
Payyoli Chicken Fry Recipe By Food Fusion,Payyoli Chicken Fry Recipe,https://www.youtube.com/watch?v=KbFJQihQVac,Pakistani
Moist Mango Loaf/ Tea Cake Recipe by Food Fusion,Moist Mango Loaf/ Tea Cake Recipe,https://www.youtube.com/watch?v=UyJK4HIiJCA,Continental
Aloo Tikka Masala Recipe by Food Fusion,Aloo Tikka Masala Recipe,https://www.youtube.com/watch?v=Jxi3F4RYndE,Indian
Pakora Kadhi Chawal Detailed Recipe by Asad Memon-Food Fusion,Pakora Kadhi Chawal Detailed Recipe by Asad Memon,https://www.youtube.com/watch?v=vtfp4mAhWtc,Pakistani
Fruit Sago Kulfi Delight Recipe By Food Fusion,Fruit Sago Kulfi Delight Recipe,https://www.youtube.com/watch?v=BVlssWSMmko,Pakistani
Chicken Masala Galawati Qeema Recipe By Foof Fusion,Chicken Masala Galawati Qeema Recipe By Foof Fusion,https://www.youtube.com/watch?v=TOLMRF_ytxc,Indian
Sticky Toffee Pudding Recipe by Fatima Ahsan - Executed by Wasil from Haque Academy,Sticky Toffee Pudding Recipe by Fatima Ahsan,https://www.youtube.com/watch?v=UCloegRybBQ,Pakistani
Creamy Garlic Chicken Fettuccine Pasta Recipe By Food Fusion,Creamy Garlic Chicken Fettuccine Pasta Recipe,https://www.youtube.com/watch?v=K_k7lPDfons,Continental
Lemon Ice Cream Recipe By Food Fusion (Summer Special),Lemon Ice Cream Recipe By Food Fusion (Summer Special),https://www.youtube.com/watch?v=bRn9NGcFQ5I,Pakistani
4 No-Oven Recipes Kids Will Love By Food Fusion,4 No-Oven Recipes Kids Will Love,https://www.youtube.com/watch?v=TM-GCXUzKrE,Pakistani
Mango Kulfi Matki Rabri Falooda Recipe By Food Fusion (Summer Special),Mango Kulfi Matki Rabri Falooda Recipe By Food Fusion (Summer Special),https://www.youtube.com/watch?v=dAI1RXHqHkk,Pakistani
2 Easy Homemade Cereal Recipes By Food Fusion,2 Easy Homemade Cereal Recipes,https://www.youtube.com/watch?v=kDq3ZYE2vs8,Pakistani
Mango Pavlova Recipe By Food Fusion,Mango Pavlova Recipe,https://www.youtube.com/watch?v=RdkFJ4s-9wc,Pakistani
Picnic-Friendly Snack Ideas Collection 2 By Food Fusion,Picnic-Friendly Snack Ideas Collection 2,https://www.youtube.com/watch?v=NZScOhM_cGo,Pakistani
Chocolate Popsicle Recipe By Haniya Asad-Food Fusion,Chocolate Popsicle Recipe By Haniya Asad,https://www.youtube.com/watch?v=G23boRAzwrs,Pakistani
Picnic-Friendly Snack Ideas Collection 1 By Food Fusion,Picnic-Friendly Snack Ideas Collection 1,https://www.youtube.com/watch?v=yDHZYzmsu0E,Pakistani
Caramel Egg Pudding (Flan) Recipe By Food Fusion,Caramel Egg Pudding (Flan) Recipe,https://www.youtube.com/watch?v=st7NmxHWwrw,Continental
6 Easy Kids Favorite Recipes By Food Fusion,6 Easy Kids Favorite Recipes,https://www.youtube.com/watch?v=Qjcjy2tAhv8,Pakistani
Creamy Mango Agua Fresca Recipe By Food Fusion,Creamy Mango Agua Fresca Recipe,https://www.youtube.com/watch?v=dnnwvnQ8x3Y,Pakistani
Mango BBQ Glaze Drumsticks Recipe by Food Fusion,Mango BBQ Glaze Drumsticks Recipe,https://www.youtube.com/watch?v=UB5vV3JHOCE,Pakistani
