Video Title,Dish Name,YouTube Link,Cuisine Type
Shinwari Bhunna Qeema,Shinwari Bhunna Qeema,https://www.youtube.com/watch?v=RpuF3hFsYOc,Pakistani
Achar Gosht Recipe - Truely Pakistani Achar Gosht,Achar Gosht,https://www.youtube.com/watch?v=LAUHlsGbVCA,Pakistani
Chicken Cheese Burger - Restaurant Quality Burger with Sauce,Chicken Cheese Burger,https://www.youtube.com/watch?v=xlvrODRVFuk,Continental
Makhadi Halwa Recipe - Best Suji Halwa Secret Recipe (Best of Best),Makhadi Halwa,https://www.youtube.com/watch?v=gpvIZ8fL4A8,Pakistani
Professional White Chicken Karahi Recipe,Professional White Chicken Karahi,https://www.youtube.com/watch?v=s2cAWu5_v64,Pakistani
Desi Chicken Macaroni Shadiyon Wali,Desi Chicken Macaroni Shadiyon Wali,https://www.youtube.com/watch?v=BWWyZ5I0hOU,Continental
1kg Perfect Biryani - Degi Style Authentic Biryani with Measurements,Perfect Biryani,https://www.youtube.com/watch?v=JI82HIYDp0o,Pakistani
Shadi Wala Fry Chicken - Simple Crispy Fry Chicken Recipe,Shadi Wala Fry Chicken,https://www.youtube.com/watch?v=TpepZdLbfMg,Pakistani
Real Chicken Koftay - Special Soft and Puffy Kofta Curry (make and store),Real Chicken Koftay,https://www.youtube.com/watch?v=OJ_dBfmaYJQ,Pakistani
Very Simple & Tasty CHICKEN FRY - Garlic Chicken Roast at Home,Very Simple & Tasty CHICKEN FRY,https://www.youtube.com/watch?v=mPwjmcA3Q7U,Pakistani
Beef Stew Recipe - Kun Foods,Beef Stew,https://www.youtube.com/watch?v=8kfjf_DSdyI,Continental
Mutton Steam Roast without Oil - Recipe for Life (No Oil),Mutton Steam Roast without Oil,https://www.youtube.com/watch?v=0aTavwjMoq8,Pakistani
"2 Best Chutney - Perfect for Eid BBQ, Seekh Kabab, Tikka Boti, Rice",2 Best Chutney,https://www.youtube.com/watch?v=tpFACRd5qNM,Pakistani
Sheshu Pulao Recipe - Degi Moist Rice Cooked in Meat Broth,Sheshu Pulao,https://www.youtube.com/watch?v=vLR_NO8Zyrw,Pakistani
Namkeen Roast Recipe - Eid Special Peshawri Rosh,Namkeen Roast,https://www.youtube.com/watch?v=R6rPgHhwO1g,Pakistani
Namkeen Karahi Gosht - Perfect 1kg Namkeen Karahi Recipe,Namkeen Karahi Gosht,https://www.youtube.com/watch?v=-e9YfqXkztQ,Pakistani
Bhindi ki Sabzi - Restaurant Style Bhindi Recipe,Bhindi ki Sabzi,https://www.youtube.com/watch?v=c1yLT9DLD9s,Pakistani
Kashmiri Dal Recipe - Best daal for naan and chawal,Kashmiri Dal,https://www.youtube.com/watch?v=9rGSzQs_yzg,Pakistani
Real Kachay Gosht ki Biryani - No Fail Biryani Recipe for Lifetime,Real Kachay Gosht ki Biryani,https://www.youtube.com/watch?v=h7tZtu7JOXM,Pakistani
Dahi Baingan Masala - Gem of a Sabzi Recipe from Old Cookbooks (eggplants with yoghurt),Dahi Baingan Masala,https://www.youtube.com/watch?v=GhdkGghEkf4,Pakistani
Daal Mash Recipe of Pakistani Home - Urad Dal with Exact Measurements,Daal Mash Recipe of Pakistani Home,https://www.youtube.com/watch?v=Q4C74-2j-e4,Pakistani
Ramzan Special Qeemay Walay Samosay - Recipe for Life,Ramzan Special Qeemay Walay Samosay,https://www.youtube.com/watch?v=Wcy-1A8FlDs,Pakistani
Singaporean Spring Rolls Restaurant Style,Singaporean Spring Rolls Restaurant Style,https://www.youtube.com/watch?v=EREqHitRuZA,Chinese
Chicken Samosa 2 Types for Iftar Party - Malai Boti and Chinese Chicken Samosa,Chicken Samosa 2 Types for Iftar Party,https://www.youtube.com/watch?v=lxz75vo0XwQ,Chinese
Chicken Snacks for Iftar Time,Chicken Snacks for Iftar Time,https://www.youtube.com/watch?v=Y5Ovif-SjKk,Pakistani
Chicken Egg Sandwich - Bakery Style Chicken Sandwiches for Iftar,Chicken Egg Sandwich,https://www.youtube.com/watch?v=VkmyLWSb0Gk,Continental
Qalandri White Pulao - Degi Chicken Pulao Recipe,Qalandri White Pulao,https://www.youtube.com/watch?v=qwOoUTrLryg,Pakistani
Tandoori Garlic Chicken - Chatkhara Garlic Chicken Recipe,Tandoori Garlic Chicken,https://www.youtube.com/watch?v=4nwrxgtVPs8,Pakistani
Qissa Khawani Halwa from Peshawar,Qissa Khawani Halwa from Peshawar,https://www.youtube.com/watch?v=J9_LYol6ATk,Pakistani
Lahori Nashtay walay Chotay Paye,Lahori Nashtay walay Chotay Paye,https://www.youtube.com/watch?v=enBIfJR_yQc,Pakistani
Lahori Butter Chicken Karahi,Lahori Butter Chicken Karahi,https://www.youtube.com/watch?v=p7WkLmeHUQA,Pakistani
Masala Aloo Matar Pulao - Aloo Matar Pulao New Style,Masala Aloo Matar Pulao,https://www.youtube.com/watch?v=BoYkYn2zFec,Pakistani
Grill Fish Restaurant Complete Recipe,Grill Fish Restaurant Complete,https://www.youtube.com/watch?v=hppwiU3qqCA,Pakistani
Lahori Qeema Street Style - Authentic Street Food,Lahori Qeema Street Style,https://www.youtube.com/watch?v=GW9MNnMucd8,Pakistani
Chicken Broast Piece without Frying,Chicken Broast Piece without Frying,https://www.youtube.com/watch?v=y8iU0yDcVJI,Pakistani
Best Aloo Bukhara Chutney,Best Aloo Bukhara Chutney,https://www.youtube.com/watch?v=f09Vbvvv2RA,Pakistani
Dabu Chicken - Simple Chicken Fry of Gujranwala,Dabu Chicken,https://www.youtube.com/watch?v=4mGO0eNSgDI,Pakistani
Machli Ka Salan - Rohu Fish Curry,Machli Ka Salan,https://www.youtube.com/watch?v=zsqTRb19gjg,Pakistani
1kg Perfect Sweet Rice - Jaggery Rice Village Style,Perfect Sweet Rice,https://www.youtube.com/watch?v=mDTxJ41v8w8,Pakistani
Ranjha Gosht Homemade Recipe - Viral Mutton Cooked in Newspaper,Ranjha Gosht Homemade,https://www.youtube.com/watch?v=9Xxr-ZjgxJ0,Pakistani
Badami Chicken - Chatkhara Chicken Roast Recipe,Badami Chicken,https://www.youtube.com/watch?v=UxaLAQeKxsE,Pakistani
Lahori Murgh Chanay - Authentic Lahori Chef's Recipe,Lahori Murgh Chanay,https://www.youtube.com/watch?v=C8Y2pnfTYzA,Pakistani
Shimla Chicken Recipe - Chili Chicken Gravy,Shimla Chicken,https://www.youtube.com/watch?v=vti2MORlvUQ,Pakistani
Best Chicken Nuggets - 50 Nuggets in 1kg Chicken,Best Chicken Nuggets,https://www.youtube.com/watch?v=MQF-gQW16Js,Pakistani
Marry Me Chicken Curry - Finger Licking Chicken Gravy Recipe,Marry Me Chicken Curry,https://www.youtube.com/watch?v=C6P6ByxD1Dk,Pakistani
Restaurant Style Chicken Kabab Recipe - Juicy Seekh Kabab without Grill,Restaurant Style Chicken Kabab,https://www.youtube.com/watch?v=W9qNTzzIJR0,Pakistani
Chicken Steam Piece in Pressure Cooker,Chicken Steam Piece in Pressure Cooker,https://www.youtube.com/watch?v=Rr0usMz3o3g,Pakistani
Hyderabadi Dum Ke Bagarey Baingan - Pakistani Chef Recipe,Hyderabadi Dum Ke Bagarey Baingan,https://www.youtube.com/watch?v=jb_yzJ4Z1KA,Indian
Macaroni Shadiyon wali - Pakistani Macaroni Recipe,Macaroni Shadiyon wali,https://www.youtube.com/watch?v=LZo0vpTC-V8,Continental
Secret Commercial Chicken Recipe  (For Food Business),Secret Commercial Chicken Recipe  (For Food Business),https://www.youtube.com/watch?v=itxVbAzDd5Y,Pakistani
Mango Ice Cream Homemade - Market Style Mango Ice Cream,Mango Ice Cream,https://www.youtube.com/watch?v=iuTrQJ86bqg,Pakistani
Dawat Combo Recipes - 3 Eid Special Mutton and Biryani Recipes,Dawat Combo Recipes,https://www.youtube.com/watch?v=_kP41gWQNvs,Pakistani
Nihari in Pressure Cooker - Professional Recipe Guide,Nihari in Pressure Cooker,https://www.youtube.com/watch?v=5uJLAnHL3dU,Pakistani
Namkeen Pyaz Gosht Gravy Recipe - Eid Special Recipe,Namkeen Pyaz Gosht Gravy,https://www.youtube.com/watch?v=XkYpw-mzDCk,Pakistani
Degi Mutton Pulao for Eid - Perfect Quantities in Cups for Beginners,Degi Mutton Pulao for Eid,https://www.youtube.com/watch?v=55DXhFl5TU8,Pakistani
Karele ki Sabzi | Crispy Karela Fry Sabzi recipe | Bittergourd Onion Sabzi,Karele ki Sabzi,https://www.youtube.com/watch?v=nzBjZABvyCc,Pakistani
Best Beef Pulao - Juicy Meat and Rice Delicacy of Bannu KPK,Best Beef Pulao,https://www.youtube.com/watch?v=ybnA-G4JD3A,Pakistani
Degi Aloo Chicken Recipe - Recipe for Life,Degi Aloo Chicken,https://www.youtube.com/watch?v=2jjnQ2KEayk,Pakistani
Chicken Stew Recipe - Kun Foods,Chicken Stew,https://www.youtube.com/watch?v=eXgJudix8mM,Continental
Authentic Mandi Recipe - Iftar kay liye Full Goat Mandi Bana Di,Authentic Mandi,https://www.youtube.com/watch?v=-J-8l2lzpSc,Arabic/Mediterranean
Mini Samosa with Aloo ki Chutney,Mini Samosa with Aloo ki Chutney,https://www.youtube.com/watch?v=QBfA_yPJWNY,Pakistani
Karachi k Dahi Baray - Complete Recipe with Secret Masala,Karachi k Dahi Baray,https://www.youtube.com/watch?v=4vUsWGqDqN8,Pakistani
Pakoray - All In One Secret Dhaba Recipe,Pakoray,https://www.youtube.com/watch?v=id0G1BRK36E,Pakistani
Chicken Empanadas Recipe - Ramzan Special,Chicken Empanadas,https://www.youtube.com/watch?v=0dpvcg72pa0,Pakistani
