Dish Name,Cuisine Type,Channels,KunFoods Video,KunFoods Link,FoodfusionPk Video,FoodfusionPk Link
1 Million Subscribers Celebration with Fondant cake Recipe,Continental,1 channel,-,-,1 Million Subscribers Celebration with Fondant cake Recipe By Food Fusion,https://www.youtube.com/watch?v=NiFJhR3Q2w8
1 Pot Rasmalai,Indian/Pakistani,1 channel,1 Pot Rasmalai Recipe - Ultimate Guide for Fail Proof Rasmalai,https://www.youtube.com/watch?v=Zk3CBPW5P6g,-,-
1.5 Liter Milk Perfect Kheer,Indian/Pakistani,1 channel,1.5 Liter Milk Perfect Kheer Recipe - Peshawari Style Special Rabri Kheer,https://www.youtube.com/watch?v=-m-HEFI9AoA,-,-
10 Dawat Recipes,Indian/Pakistani,1 channel,-,-,10 Dawat Recipes by Food Fusion,https://www.youtube.com/watch?v=ofwvrPSSU6Y
10 Quick Parathas for sehri (Ramzan Special Recipes 2018),Indian/Pakistani,1 channel,-,-,10 Quick Parathas for sehri (Ramzan Special Recipes 2018)  By Food Fusion,https://www.youtube.com/watch?v=N8UZKPCorrI
100 Years Old Panjiri Recipe,Indian/Pakistani,1 channel,-,-,100 Years Old Panjiri Recipe By Food Fusion,https://www.youtube.com/watch?v=rAVqCv9c5M8
11 Samosa Folding Techniques to perfectly fold samosas by Food Fusion (Ramzan Special Recipe),Indian/Pakistani,1 channel,-,-,11 Samosa Folding Techniques to perfectly fold samosas by Food Fusion (Ramzan Special Recipe),https://www.youtube.com/watch?v=WmKIq2FX9WM
15min Breakfast Recipe Omelette Noodles with Tomato Sauce and Chicken,Continental,1 channel,-,-,15min Breakfast Recipe Omelette Noodles with Tomato Sauce and Chicken By Food Fusion,https://www.youtube.com/watch?v=ze8PM6Jr6go
19 Samosa Folding Techniques By Food Fusion (Ramzan Special),Indian/Pakistani,1 channel,-,-,19 Samosa Folding Techniques By Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=F3DJ_Pt7qrE
19B Soup Commercial Style with Real Sauces,Indian/Pakistani,1 channel,19B Soup Commercial Style with Real Sauces,https://www.youtube.com/watch?v=AJZZZ88nQMI,-,-
